,brand,model,price,province,matriculation,fuel,kilometres,gear
1642,FIAT,500X Cross 2.0 Mjet. 103kW 4x4 Auto,17390,Madrid,2018, Diésel,32428,Automático
1643,HYUNDAI,Kona 1.0 TGDI Klass 4x2,16320,Valencia,2019, Gasolina,21369,Manual
1644,LAND-ROVER,Range Rover Velar 2.0D I4 MHEV R-Dynamic S 4WD Aut. 204,73900,Valencia,2021, Diésel,9900,Automático
1645,AUDI,Q7 3.0TDI design quattro Tip. 272 (9.75),44300,Valladolid,2017, Diésel,117779,Automático
1646,PEUGEOT,508 SW 2.0BlueHDI Allure EAT6 180,17200,Madrid,2017, Diésel,105421,Automático
1647,PORSCHE,Cayman GT4,119900,Barcelona,2020, Gasolina,12800,Automático
1648,LEXUS,ES 2.5 300h Premium,42495,Madrid,2021, Híbrido,15000,Automático
1649,VOLKSWAGEN,Golf Variant 1.6TDI Advance,11500,Valencia,2017, Diésel,182000,Manual
1650,RENAULT,Clio 1.5dCi Energy Zen 66kW,9900,Pontevedra,2016, Diésel,110243,Manual
1651,RENAULT,Clio TCe Zen 67kW,15400,Navarra,2021, Gasolina,11000,Manual
1652,OPEL,Grandland X 1.5 CDTI DESIGN & TECH 5P,24900,Alicante,2021, Diésel,29278,Manual
1653,FORD,EcoSport 1.0T ECOBOOST 92KW ST LINE 5P,16240,Toledo,2000, Gasolina,6385,Manual
1654,RENAULT,Clio Zen Energy TCe 87kW (120CV),12790,Madrid,2017, Gasolina,54689,Manual
1655,PEUGEOT,2008 Style 1.2L PureTech 60KW (82CV),10990,Madrid,2017, Gasolina,79264,Manual
1656,DS,DS3 Crossback 3 PureTech 73 kW Manual SO CHIC,19900,Madrid,2021, Gasolina,11752,Manual
1657,PEUGEOT,208 N ACTIVE PACK 1.2 PURETECH 100CV 5P,16900,Madrid,2021, Gasolina,20361,Manual
1658,AUDI,A3 Sportback 35 TDI Black line 110kW,30400,Madrid,2020, Diésel,29999,Manual
1659,AUDI,Q5 Sportback 40 TDI quattro-ultra Black line S tronic 150kW,63000,Guipúzcoa,2021, Diésel,23,Automático
1660,LEXUS,ES 2.5 300h Executive,43495,Madrid,2020, Híbrido,6300,Automático
1661,MASERATI,Ghibli Diesel Aut. 275,35000,Madrid,2015, Diésel,75000,Automático
1662,BMW,X1 sDrive18d,26790,Sevilla,2018, Diésel,40000,Manual
1663,LEXUS,NX 300h 2.5 300h 2WD Premium,38695,Madrid,2021, Híbrido,15000,Automático
1664,RENAULT,Kadjar Business Energy dCi 81kW (110CV) EDC,14590,Madrid,2018, Diésel,132375,Automático
1665,BMW,X1 sDrive18d,26790,Sevilla,2018, Diésel,40000,Manual
1666,MERCEDES-BENZ,Clase A 180 7G-DCT,31900,Madrid,2021, Gasolina,23199,Automático
1667,LEXUS,NX 300h 2.5 300h 2WD Premium,38695,Madrid,2021, Híbrido,15000,Automático
1668,ALFA,ROMEO Giulietta 1.6JTD Super 120,13560,Barcelona,2017, Diésel,94310,Manual
1669,OPEL,Crossland 1.5D 88KW BUSINESS ELEGANCE AUTO 5P,20900,Alicante,2021, Diésel,12385,Automático
1670,OPEL,Corsa 1.2T XHL 74KW ELEGANCE 5P,16400,Alicante,2021, Gasolina,9197,Manual
1671,JAGUAR,F-Pace 3.0TDV6 R-Sport Aut. AWD,44900,Madrid,2016, Diésel,57051,Automático
1672,MERCEDES-BENZ,Clase C 180 BlueTEC / d T (205.204),18110,Madrid,2017, Diésel,133252,Manual
1673,AUDI,Q5 40 TDI quattro-ultra Genuine S tronic 150kW,49000,Barcelona,2021, Diésel,9547,Automático
1674,JAGUAR,F-Pace 2.0D l4 MHEV Standard Aut. AWD 204,75900,Valencia,2021, Diésel,1500,Automático
1675,FORD,EcoSport ST-LINE 1.0 EcoBoost 92KW (125CV) Euro 6.2,18250,Madrid,2021, Gasolina,800,Manual
1676,FORD,Focus 1.5TDCi Business 120,11990,Pontevedra,2016, Diésel,138611,Manual
1677,FORD,Focus 1.5Ecoblue Active 120,22995,Valencia,2020, Diésel,37627,Manual
1678,LAND-ROVER,Discovery 3.0TD6 HSE Aut.,52900,Madrid,2018, Diésel,93560,Automático
1680,LAND-ROVER,Discovery 3.0TD6 HSE Aut.,52900,Madrid,2018, Diésel,93560,Automático
1681,SKODA,Octavia Combi 2.0TDI RS DSG,17999,Madrid,2015, Diésel,176000,Automático
1682,AUDI,A3 Sportback 30 TFSI S Line 85kW,23400,Madrid,2019, Gasolina,80229,Manual
1683,BMW,X5 xDrive 30dA,72000,Asturias,2022, Diésel,1647,Automático
1684,AUDI,A3 Sedán 1.6TDI Sport Edition 85kW,19900,Murcia,2017, Diésel,100500,Manual
1685,SEAT,León 2.0TDI CR S&S Xcellence DSG-7 150,27300,Madrid,2020, Diésel,11806,Automático
1686,OPEL,Mokka Mokka-e GS Ultimate-e,32900,Barcelona,2021, Eléctrico,9500,Automático
1687,KIA,Niro 1.6 GDi Híbrido Concept,15490,Madrid,2016, Híbrido,92298,Automático
1688,OPEL,Crossland 1.2 96KW INNOVATION S,16900,Alicante,2019, Gasolina,53528,Manual
1689,MERCEDES-BENZ,Clase GLC 220d 4Matic Aut.,31900,Murcia,2016, Diésel,144847,Automático
1690,FIAT,Tipo 1.3 Multijet II Mirror,12998,Valencia,2020, Diésel,22700,Manual
1691,PEUGEOT,508 SW 2.0BlueHDI Allure EAT6 180,17200,Barcelona,2017, Diésel,105421,Automático
1692,BMW,Serie 1 SERIES 118d,19800,Barcelona,2017, Diésel,91807,Manual
1693,MERCEDES-BENZ,Clase M ML 320CDI 4M Aut.,20900,Pontevedra,2009, Diésel,186000,Automático
1694,MERCEDES-BENZ,Clase A 180,34400,Barcelona,2021, Gasolina,7430,Automático
1695,SKODA,Fabia 1.0 TSI 70KW (95CV) Style,14690,Barcelona,2022, Gasolina,0,Manual
1696,SKODA,Fabia 1.0 TSI 70KW (95CV) Style,14690,Barcelona,2022, Gasolina,0,Manual
1697,DACIA,Duster 1.5dCi Laureate 4x2 110,11990,Pontevedra,2016, Diésel,89858,Manual
1698,SEAT,Altea XL Stylance / Style,7590,Barcelona,2009, Gasolina,101000,Manual
1699,CITROEN,C4 Cactus 1.6 BlueHDi Feel 100,12300,Madrid,2017, Diésel,99466,Manual
1700,MINI,Mini Cooper Cooper,15380,Navarra,2017, Gasolina,69100,Manual
1701,MERCEDES-BENZ,Clase C 180 BlueTEC / d T (205.204),18110,Alicante,2017, Diésel,133252,Manual
1702,PEUGEOT,5008 Allure 1.2L PureTech 96kW (130CV) EAT8,27690,Madrid,2020, Gasolina,6881,Automático
1703,NISSAN,Qashqai Q+2 2.0dCi Tekna Premium 4x4 A/T 17´´,15499,Murcia,2013, Diésel,103000,Automático
1704,AUDI,Q3 35 TDI Advanced S tronic 110kW,35800,Barcelona,2021, Diésel,12512,Automático
1705,MAZDA,MX-30 e-Skyactiv Evolution Modern 105kW,23990,Alicante,2020, Eléctrico,9700,Automático
1706,MERCEDES-BENZ,Clase CLA 180 CDI / d (117.908),18930,Madrid,2018, Diésel,112294,Manual
1707,OPEL,Corsa 1.2 Expression,8299,Sevilla,2014, Gasolina,116544,Manual
1708,BMW,X1 sDrive 18i,28900,Madrid,2018, Gasolina,38526,Automático
